1	41,158	0,1,	R+4	3668	25443	0.0	0.0	1.0	0.0	0.0	41,158	0.21551347963694117	1.8003287262872784E11	527896.5061941806	3616124.1444030693	0.463958652674606	0.536041347325394	23,609	27,277
2	39,153	0,1,	R+32	23007	18042	0.0	0.0	0.0	0.0	1.0	39,153	0.31741427253735843	1.0110435764942421E11	1814384.8371934155	248387.48805010255	0.18119335975390072	0.8188066402460993	6,538	29,545
3	38,125	0,1,	R+9	8870	24601	0.0	0.0	0.0	0.0	1.0	38,125	0.2778808757332102	5.756733497375016E10	1407246.8682116068	274977.8977063364	0.40986138774846553	0.5901386122515345	20,166	29,036
4	41,331	0,1,	R+6	5251	22260	0.0	0.0	0.0	1.0	0.0	41,331	0.14478124257559213	5.855913633634383E9	712928.7252962658	0.0	0.44102518026011367	0.5589748197398864	19,634	24,885
5	37,987	1,0,	D+12	10564	22372	1.0	0.0	0.0	0.0	0.0	37,987	0.3103099586513991	7.231788815938042E10	1711314.9444420387	0.0	0.6180493473985339	0.3819506526014661	27,654	17,090
6	40,310	0,1,	R+10	8371	20183	0.0	0.0	0.0	0.0	1.0	40,310	0.25242579305762686	2.5532163014981723E11	3565183.366382783	0.0	0.396308683265205	0.603691316734795	15,997	24,368
7	43,859	1,0,	D+22	16722	18752	1.0	0.0	0.0	0.0	0.0	43,859	0.20835292606485464	2.204232033167205E9	364614.3732970608	0.0	0.7229362201365188	0.27706377986348124	27,113	10,391
8	35,232	1,0,	D+37	7483	5103	1.0	0.0	0.0	0.0	0.0	35,232	0.40099896436757543	9.766197158486006E8	174942.7907497051	0.0	0.8666340029397355	0.13336599706026459	8,844	1,361
9	39,405	1,0,	D+30	13746	11474	1.0	0.0	0.0	0.0	0.0	39,405	0.23360880535884537	1.4736403357232227E9	281550.35411878576	0.0	0.7995032246818895	0.2004967753181105	18,347	4,601
10	36,653	1,0,	D+44	25717	14489	1.0	0.0	0.0	1.0	-1.0	36,653	0.2280351696796549	1.6717367911214762E9	303520.45576793334	0.0	0.9437484901818683	0.05625150981813162	27,347	1,630
11	34,803	1,0,	D+43	21859	12609	1.0	0.0	0.0	1.0	-1.0	34,803	0.25315918024103723	1.575806215899454E9	279678.76698092016	0.0	0.933417932347226	0.06658206765277393	23,538	1,679
12	38,499	1,0,	D+33	19612	14961	1.0	0.0	0.0	0.0	0.0	38,499	0.22515358057501386	3.6431344882894263E9	450923.74471368367	0.0	0.8277187353786511	0.17228126462134885	24,767	5,155
13	41,866	1,0,	D+14	13360	23545	1.0	0.0	0.0	0.0	0.0	41,866	0.1314643615614106	1.9536685796494312E9	432141.88265556114	0.0	0.6418560203864939	0.358143979613506	30,225	16,865
14	42,383	0,1,	R+11	11644	25443	0.0	0.0	0.0	0.0	1.0	42,383	0.20413273881046543	5.219033265895407E9	566817.9999415678	0.0	0.3855873914239673	0.6144126085760327	19,621	31,265
15	42,474	1,0,	D+22	14946	16648	1.0	0.0	0.0	0.0	0.0	42,474	0.386023099416189	1.5879895092988224E9	227364.20870931263	0.0	0.7244413743392599	0.27555862566074	24,121	9,175
16	38,203	1,0,	D+43	19026	11114	1.0	0.0	0.0	1.0	-1.0	38,203	0.26830401204949733	1.106487457246768E9	227648.39682397424	0.0	0.927973726831024	0.07202627316897607	20,627	1,601
17	36,653	1,0,	D+43	25850	15165	1.0	0.0	0.0	1.0	-1.0	36,653	0.30193645090340854	1.2649887138050747E9	229451.27984567982	0.0	0.926145730300033	0.07385426969996703	28,090	2,240
18	32,813	1,0,	D+40	17432	10826	1.0	0.0	0.0	0.0	0.0	32,813	0.26372062585745354	1.1469200544529278E9	233775.7486521782	0.0	0.902549418067615	0.097450581932385	19,542	2,110
19	48,273	1,0,	D+35	29491	21211	1.0	0.0	0.0	0.0	0.0	48,273	0.13970036350742085	1.4255043668414068E9	252987.76241297252	140134.38941490254	0.8475990665000825	0.15240093349991748	35,956	6,465
20	42,554	1,0,	D+27	20098	18570	1.0	0.0	0.0	0.0	0.0	42,554	0.3471893339710685	3.3598833088685613E9	299500.7096933982	65633.19952654286	0.7705708131394723	0.22942918686052774	28,619	8,521
