55001002750001, 83
55001002750002, 83
55001002750003, 83
55001002750004, 83
55001003000001, 27
55001003000002, 83
55001003000003, 83
55001073000001, 26
55001073000002, 33
55001160750001, 33
55001195750001, 83
55001195750002, 52
55001195750003, 83
55001220000001, 83
55001220000002, 83
55001279500001, 83
55001376250001, 83
55001376250002, 83
55001434250001, 26
55001442500001, 26
55001537250001, 33
55001565250001, 83
55001565250002, 83
55001565250003, 83
55001567500001, 72
55001654500001, 33
55001654500002, 83
55001658250001, 33
55001658250002, 33
55001658250003, 83
55001674250001, 72
55001692750001, 33
55001692750002, 33
55001692750003, 33
55001692750004, 33
55001692750005, 33
55001763500001, 83
55001763500002, 83
55001778000001, 86
55001778000002, 33
55001778000003, 33
55001881500005, 92
55001881500009, 25
55003005500001, 63
55003032250001, 30
55003032250002, 30
55003032250003, 30
55003032250004, 30
55003032250005, 30
55003032250006, 30
55003032250007, 30
55003032250008, 30
55003032250009, 30
55003032250010, 63
55003032250011, 63
55003032500001, 63
55003115250001, 63
55003115250002, 51
55003145500001, 63
55003292500001, 97
55003298750001, 63
55003298750002, 63
55003377750001, 63
55003425620001, 36
55003492000001, 30
55003492000002, 63
55003507000001, 63
55003544000001, 63
55003544000002, 63
55003544000003, 30
55003616000001, 63
55003616000002, 63
55003713500001, 40
55003713500002, 63
55003728250001, 63
55003868500001, 30
55003868500002, 63
55005013250001, 54
55005013500001, 54
55005013500002, 54
55005027750001, 54
55005048750001, 54
55005048750002, 54
55005048750003, 54
55005048750004, 54
55005048750005, 54
55005048750006, 54
55005048750007, 54
55005049000001, 54
55005049000002, 54
55005056500001, 85
55005122500001, 39
55005122500002, 54
55005122500003, 9
55005135000001, 63
55005143250001, 54
55005143250002, 54
55005143250003, 54
55005143250004, 54
55005143500001, 54
55005143500002, 54
55005156000001, 54
55005178750001, 29
55005180250001, 63
55005180250002, 85
55005180250003, 27
55005180250004, 13
55005180500001, 33
55005185750001, 54
55005186000001, 13
55005206500001, 54
55005207500001, 54
55005207500002, 89
55005332250001, 85
55005416000001, 22
55005416000002, 68
55005488250001, 54
55005488250002, 54
55005489500001, 85
55005563500002, 54
55005589500001, 54
55005589500002, 83
55005651500001, 54
55005651750001, 54
55005651750002, 49
55005652000001, 54
55005652000002, 54
55005673500001, 54
55005673500002, 54
55005673500003, 54
55005673500004, 54
55005673500005, 54
55005673500006, 54
55005673500007, 54
55005673500008, 54
55005673500009, 54
55005673500010, 54
55005673500011, 54
55005673500012, 54
55005673500013, 13
55005673750001, 54
55005673750002, 54
55005673750003, 54
55005673750004, 63
55005741250001, 54
55005765500001, 54
55005766000001, 54
55005766000002, 54
55005766000003, 54
55005766000004, 54
55005784500001, 54
55005810750001, 85
55005811000001, 85
55005823750001, 54
55007032250001, 30
55007047250001, 30
55007047500001, 30
55007053500001, 45
55007053500002, 45
55007053500003, 45
55007053500004, 45
55007053750001, 88
55007054750001, 30
55007062000001, 30
55007116750001, 30
55007157500001, 30
55007196620001, 63
55007208870001, 30
55007229250001, 30
55007229250002, 30
55007301750001, 30
55007363000001, 30
55007372000001, 30
55007372000002, 30
55007390250001, 30
55007394250001, 30
55007442750001, 30
55007499000001, 30
55007499250001, 30
55007553750001, 63
55007602750001, 30
55007607750001, 30
55007627000001, 30
55007645120001, 30
55007703000001, 25
55007703000002, 49
55007807500001, 30
55007835250001, 30
55007835250002, 30
55007835250003, 30
55007835250004, 30
55007835500001, 30
55009011500001, 17
55009011500002, 17
55009011500003, 17
55009011500004, 17
55009011500005, 17
55009011500006, 79
55009011500007, 17
55009011500008, 79
55009011500009, 17
55009034250001, 79
55009034250002, 17
55009034250003, 17
55009034250004, 79
55009034250005, 79
55009034250006, 79
55009034250007, 79
55009034250008, 79
55009034250009, 79
55009034250010, 79
55009034250011, 79
55009034250012, 79
55009063500001, 17
55009063500002, 17
